cicle;temperature;humidity;RSSI;date;hour
15;17;41;-61;23/03/2018;11:24:11
16;17;41;-61;23/03/2018;11:24:21
17;17;41;-61;23/03/2018;11:24:31
18;17;41;-61;23/03/2018;11:24:41
19;17;41;-61;23/03/2018;11:24:51
20;17;41;-61;23/03/2018;11:25:01
21;17;41;-61;23/03/2018;11:25:11
22;17;41;-61;23/03/2018;11:25:21
23;17;41;-61;23/03/2018;11:25:31
24;17;41;-61;23/03/2018;11:25:41
25;17;41;-61;23/03/2018;11:25:51
26;17;41;-61;23/03/2018;11:26:01
27;17;41;-61;23/03/2018;11:26:11
28;17;41;-61;23/03/2018;11:26:21
29;17;41;-61;23/03/2018;11:26:31
30;17;41;-61;23/03/2018;11:26:41
31;17;41;-61;23/03/2018;11:26:51
32;17;41;-61;23/03/2018;11:27:01
33;17;41;-61;23/03/2018;11:27:11
34;17;41;-61;23/03/2018;11:27:21
35;17;41;-61;23/03/2018;11:27:31
36;17;41;-61;23/03/2018;11:27:41
37;17;41;-61;23/03/2018;11:27:51
38;17;41;-61;23/03/2018;11:28:01
39;17;41;-61;23/03/2018;11:28:11
40;17;41;-61;23/03/2018;11:28:21
41;17;41;-61;23/03/2018;11:28:31
42;17;41;-61;23/03/2018;11:28:41
43;17;41;-61;23/03/2018;11:28:51
44;17;41;-61;23/03/2018;11:29:01
45;17;41;-61;23/03/2018;11:29:11
46;17;41;-61;23/03/2018;11:29:21
47;17;41;-61;23/03/2018;11:29:31
48;17;41;-61;23/03/2018;11:29:41
49;17;41;-61;23/03/2018;11:29:51
50;17;41;-61;23/03/2018;11:30:01
51;17;41;-61;23/03/2018;11:30:11
52;17;41;-61;23/03/2018;11:30:21
53;17;41;-61;23/03/2018;11:30:31
54;17;41;-61;23/03/2018;11:30:41
55;17;41;-61;23/03/2018;11:30:51
56;17;41;-61;23/03/2018;11:31:01
57;17;41;-61;23/03/2018;11:31:11
58;17;41;-61;23/03/2018;11:31:21
59;17;41;-61;23/03/2018;11:31:31
60;17;41;-60;23/03/2018;11:31:41
61;17;41;-60;23/03/2018;11:31:51
62;17;41;-60;23/03/2018;11:32:01
63;17;41;-60;23/03/2018;11:32:11
64;17;41;-60;23/03/2018;11:32:21

1;17;41;-56;23/03/2018;11:37:51
2;17;41;-56;23/03/2018;11:38:01
3;17;41;-56;23/03/2018;11:38:11
4;17;41;-57;23/03/2018;11:38:21
5;17;41;-58;23/03/2018;11:38:31
6;17;41;-58;23/03/2018;11:38:41
7;17;41;-58;23/03/2018;11:38:51
8;17;41;-58;23/03/2018;11:39:01
9;17;41;-58;23/03/2018;11:39:11
10;17;41;-58;23/03/2018;11:39:21
11;17;41;-57;23/03/2018;11:39:31
12;17;41;-57;23/03/2018;11:39:41
13;17;41;-57;23/03/2018;11:39:51
14;17;41;-57;23/03/2018;11:40:01
15;17;41;-57;23/03/2018;11:40:11
16;17;41;-57;23/03/2018;11:40:21
17;17;41;-57;23/03/2018;11:40:31
18;17;41;-57;23/03/2018;11:40:41
19;17;41;-57;23/03/2018;11:40:51
20;17;41;-57;23/03/2018;11:41:01
21;17;41;-57;23/03/2018;11:41:11
22;17;41;-57;23/03/2018;11:41:21
23;17;41;-57;23/03/2018;11:41:31
24;17;41;-57;23/03/2018;11:41:41
25;17;41;-57;23/03/2018;11:41:51
26;17;41;-57;23/03/2018;11:42:01
27;17;41;-57;23/03/2018;11:42:11
28;17;41;-57;23/03/2018;11:42:21
29;17;41;-57;23/03/2018;11:42:31
30;17;41;-57;23/03/2018;11:42:41
31;17;41;-57;23/03/2018;11:42:51
32;17;41;-58;23/03/2018;11:43:01
33;17;41;-58;23/03/2018;11:43:11
34;17;41;-58;23/03/2018;11:43:21
35;17;41;-58;23/03/2018;11:43:31
36;17;41;-58;23/03/2018;11:43:41
37;17;41;-58;23/03/2018;11:43:51
38;17;41;-58;23/03/2018;11:44:01
39;17;41;-58;23/03/2018;11:44:11
40;17;41;-58;23/03/2018;11:44:21
41;17;41;-58;23/03/2018;11:44:31
42;17;41;-58;23/03/2018;11:44:41
43;17;41;-58;23/03/2018;11:44:51
44;17;41;-58;23/03/2018;11:45:01
45;17;41;-58;23/03/2018;11:45:11
46;17;41;-58;23/03/2018;11:45:21
47;17;41;-58;23/03/2018;11:45:31
48;17;41;-58;23/03/2018;11:45:41
49;17;41;-58;23/03/2018;11:45:51
50;17;41;-58;23/03/2018;11:46:01
51;17;41;-58;23/03/2018;11:46:11
52;17;41;-58;23/03/2018;11:46:21
53;17;41;-58;23/03/2018;11:46:31
54;17;41;-58;23/03/2018;11:46:41
55;17;41;-58;23/03/2018;11:46:51
56;17;41;-58;23/03/2018;11:47:01
57;17;41;-58;23/03/2018;11:47:11
58;17;41;-58;23/03/2018;11:47:21
59;17;41;-58;23/03/2018;11:47:31
60;17;41;-58;23/03/2018;11:47:41
61;17;41;-58;23/03/2018;11:47:51
62;17;41;-58;23/03/2018;11:48:01
63;17;41;-58;23/03/2018;11:48:11
64;17;41;-58;23/03/2018;11:48:21
